시도,주차장명,주차장유형(노상/노외/부설),주소,위도,경도,관리기관,주차장(관리자전화번호),19.2.2(토)개방시작시간,19.2.2(토)개방종료시간,19.2.3(일)개방시작시간,19.2.3(일)개방종료시간,19.2.4(월)개방시작시간,19.2.4(월)개방종료시간,19.2.5(화)개방시작시간,19.2.5(화)개방종료시간,19.2.6(수)개방시작시간,19.2.6(수)개방종료시간,특이사항,종일개방여부*
부산광역시,중앙동 교보생명옆,노상,부산광역시 중구 중앙동4가 91,35.106101,129.036968,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,중부소방서뒤,노상,부산광역시 중구 중앙동4가 91,35.107569,129.037068,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,중앙동객화차담 밑,노상,부산광역시 중구 중앙동4가 91,35.108818,129.038892,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,중앙동 마린센터,노상,부산광역시 중구 중앙동4가 91,35.109734,129.03861,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,중앙동 KT뒤 ,노상,부산광역시 중구 중앙동4가 91,35.109227,129.037713,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,부산데파트뒤,노상,부산광역시 중구 동광동1가 50,35.098973,129.035901,중구청,051-600-4552,20:00,익일09:00,20:00,익일09:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"설연휴(2.4~2.6)기간만 종일 무료개방, 설연휴 제외 9시부터 20시까지 유료개방, 20시부터 다음날 09시까지 무료개방",
부산광역시,부산우체국뒤,노상,부산광역시 중구 중앙동3가 20,35.103077,129.035654,중구청,051-600-4552,20:00,익일09:00,20:00,익일09:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,"설연휴(2.4~2.6)기간만 종일 무료개방, 설연휴 제외 9시부터 20시까지 유료개방, 20시부터 다음날 09시까지 무료개방",
부산광역시,중앙동 국제회관옆,노상,부산광역시 중구 중앙동6가 9-1,35.100273,129.037222,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,중앙동 유창빌딩앞,노상,부산광역시 중구 중앙동4가 26-3,35.104157,129.036704,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,보수 복개천,노상,부산광역시 중구 부평동3가 80,35.101127,129.022681,중구청,051-600-4552,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
